RaisonSociale,Siret,FormeJuridique,Dirigeant,DateCreation,Effectif,Activite,CodeNAF,ChiffreAffaire,ResultatNet,DetteNette,FondsPropres,BFR,FR,EBE,CapitalSocial,CoûtDette,Tresorerie,CAF,BilanTotal,RatioGearing,RentabiliteExploitation,RentabiliteGlobale,RatioEquity,RatioLevier,ICR,Note3C,Note4C
AGON,312 139 413 00032,SARL,Bruno Pierre Marie BLOHORN,01/01/1978,Entre 1 et 2 salariés,Culture du riz,01.12Z,567,13,1370,842,185,192,120,427.5,8,7.21,129,2356,1.62708,0.21164,0.02293,0.35739,11.41667,15.00000,2,2
FERMES FRANCAISES,061 800 231 00054,SAS,David CALVIERE,01/07/1985,Entre 3 et 5 salariés,Culture du riz,01.12Z,2060,28.8,6040,5836,573,634,507,5417,15,61.1,526,13584,1.03496,0.24612,0.01398,0.42962,11.91321,33.80000,1,1
BOSCHET,404 382 210 00023,EURL,Romain Vincent & Hyacinthe BOSCHET,01/02/1996,Entre 6 et 9 salariés,Traitement primaire des récoltes,01.63Z,1900,3570,2340,69,-8.63,83.4,495,7.6,45,92.1,457,2692,33.91304,0.26053,1.87895,0.02563,4.72727,11.00000,3,3
EUROSOL FONDATIONS,390 164 358 00025,SAS,Michel DESMOULINS & Eric TOFFART & Patrick ROUX,25/01/1993,Entre 20 et 49 salariés,Construction et entretien de tunnels,42.13B,7050,107,566,1620,1880,2020,19.7,500,43,138,295,1640,0.34938,0.00279,0.01518,0.98780,28.73096,0.45814,1,1
SEMARA,749 939 351 00021,SAS,SAS BENOIST SEM & PRICEWATERHOUSECOOPERS & Jocelyne ANQUETIL & Jean-Pascal LAIGLE & Guy TABEL Laurent & François GUERREIRO,30/01/2012,Entre 20 et 49 salariés,Traitement des semences,01.64Z,3790,-59.3,2000,2613,-3310,-3310,795,2672,129,0,647,9435,0.76540,0.20976,-0.01565,0.27695,2.51572,6.16279,3,3
EPTASEM,791 866 098 00019,SASU,Emmanuel Jean-Claude PECHOT,18/03/2013,Entre 1 et 2 salariés,Traitement des semences,01.64Z,615,131,269,459.8,52.1,378,215,10,4.7,326,194,780.4,0.58504,0.34959,0.21301,0.58919,1.25116,45.74468,1,1
PARC DE CHASSE DE FONTCOUVERTE,752 217 497 00011,EURL,Julien Simon & Marie BONNEFILLE,12/04/2012,Entre 1 et 2 salariés,"Chasse, piégeage et services annexes",01.70Z,80.3,-25.8,29.8,-1.227,-98.3,-82.6,1,1,0.357,15.7,1.15,152.3,-24.28688,0.01245,-0.32130,-0.00806,29.80000,2.80112,3,3
HUGOU DUMAS,343 058 905 00013,SASU,Gilbert Lucien & Marcel HUGOU & Caroline Jeanine HUGOU & AIX AUDIT COMMISSARIAT & Philippe BICAIS,01/11/1987,Entre 3 et 5 salariés,Récolte de produits forestiers non ligneux poussant à l'état sauvage,02.30Z,3170,3.89,175,1456,1070,1400,47.2,280,2.1,334,70.1,1851,0.12019,0.01489,0.00123,0.78660,3.70763,22.47619,1,1
SETANO,800 937 294 00018,SASU,Charles Marcel GIUDICELLI,01/04/2014,Entre 3 et 5 salariés,Culture d'agrumes,01.23Z,497,198,18,653,392,480,306,134,0.1,88.5,235,800,0.02757,0.61569,0.39839,0.81625,0.05882,0.00000,1,0
GFA LE PETIT FLAMANT,415 181 510 00017,Groupement foncier agricole,Gabrièle Angelo Luigi Maria COLOMBARA & Angelo Giovanni Francesco COLOMBARA,01/02/1998,0 salarié,Culture du riz,01.12Z,224,25.5,0,996,363,1190,29.7,3.1,0.1,828,35.6,2136,0.00000,0.13259,0.11384,0.46629,0.00000,297.00000,1,1
PRIMEURS DU SUD OUEST,750 142 598 00010,SAS,PRIMEALE FRANCE & Didier ARGUEIL & BSF AUDIT & Bertrand TOTEL & Pierre Francois PINCHAURET-LAMOTHE,08/03/2012,0 salarié,Traitement primaire des récoltes,01.63Z,2520,0.1,108,328,-665,-198,162,184,22.2,467,211,2216,0.32927,0.06429,0.00004,0.14801,0.66667,7.29730,2,2
CIPA SARL,839 502 432 00025,SARL,Aldo BELLONE,23/03/2018,Entre 20 et 49 salariés,Construction et entretien de tunnels,42.13B,5590,52.2,0.8,372,-527,-139,134,100,0.1,388,117,1877,0.00215,0.02397,0.00934,0.19819,0.00597,1340.00000,2,2
T N T,411 143 571 00023,SASU,GROUPE CASTILLON & Sonia POLETTI & COMPAGNIE FIDUCIAIRE AUDIT,02/01/1997,Entre 20 et 49 salariés,Activités de soutien aux autres industries extractives,09.90Z,5560,331,9.81,1984,978,1930,478,44,0.1,951,350,3266,0.00494,0.08597,0.05953,0.60747,0.02052,4780.00000,1,1
BENOIT GAUTHIER,450 578 638 00014,SASU,L.V.B.G & BOURGUIGNON AUDIT ASSOCIES - B.A.A. & Eric Patrice Joseph André LEVOIR,15/11/2003,Entre 6 et 9 salariés,Activités de soutien aux autres industries extractives,09.90Z,2640,23.1,1020,911.4,833,1200,316,300,12.4,371,313,2414.7,1.11916,0.11970,0.00875,0.37744,3.22785,25.48387,2,2
SIRCO TRAVAUX SPECIAUX,403 601 222 00058,SASU,MATIERE & ARDOUREL & MATHONIER,22/12/1995,Entre 10 et 19 salariés,Construction d'ouvrages d'art,42.13A,7320,212,1220,689.6,-279,1040,350,140,8.1,1320,353,4679.2,1.76914,0.04781,0.02896,0.14738,3.48571,43.20988,2,2
LES TOURBIERES DE SUCE,381 802 651 00012,SARL,Dominique Pierre François LE ROY,14/01/1991,Entre 1 et 2 salariés,Extraction des minéraux chimiques et d'engrais minéraux,08.91Z,694,52.7,86.6,228.2,20.1,205,110,68.6,1.5,185,86.9,424.2,0.37949,0.15850,0.07594,0.53795,0.78727,73.33333,1,1
POUZZOLANES DES DOMES,342 637 550 00019,SASU,CARRIERES DE FRANCE & F.R.A. & FIDUCIAIRE PARIS OUEST,01/10/1987,Entre 6 et 9 salariés,Extraction des minéraux chimiques et d'engrais minéraux,08.91Z,3070,578,1120,744.9,655,1050,875,145.6,29.8,393,653,2806.5,1.50356,0.28502,0.18827,0.26542,1.28000,29.36242,2,2
SOTAC,398 442 269 00039,SAS,SANDROC - SOCIETE PAR ACTIONS SIMPLIFIEE & SA AUDIT ET CONSEIL UNION - SOCIETE ANONYME & SA GROUPE CONSEIL UNION - SOCIETE ANONYME,26/09/1994,Entre 3 et 5 salariés,Extraction des minéraux chimiques et d'engrais minéraux,08.91Z,314,-154,318,-108,-201,-187,-83.4,400,1.3,14,-88.9,814,-2.94444,-0.26561,-0.49045,-0.13268,-3.81295,-64.15385,3,3
SARL ACTIVERT,333 697 241 00029,SARL,Patrick DOS SANTOS,15/07/1985,Entre 6 et 9 salariés,Extraction de tourbe,08.92Z,2440,218,1300,406.7,243,732,2440,72,15,489,300,2155.7,3.19646,1.00000,0.08934,0.18866,0.53279,162.66667,3,3
TOTALENERGIES EP TENGAH,327 643 003 00038,SAS,Francisco Javier RIELO AMEIJIDE & Stéphane PAUTARD & KPMG S.A,01/05/1983,0 salarié,Extraction de gaz naturel,06.20Z,521,158,1918,5304,-471,5300,365,40,0.1,5770,158,7222,0.36161,0.70058,0.30326,0.73442,5.25479,3650.00000,1,0
ECM ETUDES CONSTRUCTIONS ET MAINTENANCE,382 909 000 00046,SASU,Alain Jean Robert GRIZAUD & Florent Paul Roger GRIZAUD & Jérôme BERGONZO & HYPHEN Commissariat aux Comptes,21/08/1991,Entre 20 et 49 salariés,Construction d'ouvrages d'art,42.13A,3860,3.94,1530,-338,746,940,72.9,120,0.3,194,64.7,2113,-4.52663,0.01889,0.00102,-0.15996,20.98765,243.00000,3,3
TERRIL D'AVION,409 749 595 00016,SARL,Christophe MASQUELIER & Patrick DESSAUVAGES,01/09/1996,0 salarié,Extraction de houille,05.10Z,873,-14,389,1428,961,1650,232,82,-1.6,687,232,2060,0.27241,0.26575,-0.01604,0.69320,1.67672,-145.00000,3,3
TERCHARNOR,329 769 061 00113,SAS,AD CACHERA & Alain Bernard Jean-Marie CACHERA & GB AUDIT,17/04/1984,Entre 1 et 2 salariés,Extraction de houille,05.10Z,240,76.3,0,624,68.5,547,59.4,440,0.1,478,61.8,860,0.00000,0.24750,0.31792,0.72558,0.00000,594.00000,1,0
ETABLISSEMENTS DUPUY,383 956 547 00012,SAS,ETUDE GESTION FINANCIERE VERNES HOLDING,01/01/1992,Entre 3 et 5 salariés,Extraction de tourbe,08.92Z,566,36.2,567,95,130,228,71.6,100,12.7,98.1,64,965,5.96842,0.12650,0.06396,0.09845,7.91899,5.63780,3,3
LTP GENIE CIVIL ET GABIONS,417 659 984 00013,EURL,Jean-Pierre DUPUY & EXPERTISE COMPTABLE CONSEILS GESTION DES ENTREPRISES (E.C.C.G.E) & ACTIF AUDIT,08/01/1998,Entre 20 et 49 salariés,Construction d'ouvrages d'art,42.13A,5810,101,159,400,-1070,11.4,267,240,0.01,1080,206,3533,0.39750,0.04596,0.01738,0.11322,0.59551,26700.00000,1,1
GROUPE SOTTAL TP,380 674 614 00033,SASU,Philippe ALMORIC & Christine BOREL & Serge DURIF & FIDUCIAIRE ILE DE FRANCE MEDITERRANEE AUDIT,02/01/1991,Entre 3 et 5 salariés,Construction d'ouvrages d'art,42.13A,1250,198,610,3507,1140,1340,169,1150,14,202,222,4633,0.17394,0.13520,0.15840,0.75696,3.60947,12.07143,1,0
STEELMAG INTERNATIONAL,795 229 301 00010,SASU,Chee Mun CHOY & Lionel Gérard FINE & Cabinet MAZARS,16/08/2013,Entre 20 et 49 salariés,Fabrication d'autres produits céramiques à usage technique,23.44Z,5000,-844,3940,996,1110,2140,165,715,34,1030,122,6405,3.95582,0.03300,-0.16880,0.15550,23.87879,4.85294,3,3
R.R.T.P. 48,805 052 966 00019,SAS,Christophe TEYSSIER,06/10/2014,Entre 6 et 9 salariés,Construction d'ouvrages d'art,42.13A,1140,66.7,23.1,543,249,549,108,20,0.205,300,87.8,1197,0.04254,0.09474,0.05851,0.45363,0.21389,526.82927,1,0
HIGH TECH CERAM,907 350 656 00035,SAS,Philippe Jany Georges CHANEY & GRANT THORNTON & INSTITUT DE GESTION ET D'EXPERTISE COMPTABLE IGEC,01/01/1963,Entre 10 et 19 salariés,Fabrication d'autres produits céramiques à usage technique,23.44Z,2070,146,284,945,328,1000,278,44,2,673,24.2,1740,0.30053,0.13430,0.07053,0.54310,1.02158,139.00000,1,0
LMI LAMBERT MANUFIL INDUSTRIES,797 672 037 00018,SASU,ETABLISSEMENTS PAUL LAMBERT & Jean-Pierre Maurice SAUTEJEAU & GBS Associés & Vincent JOSTE,01/10/2013,Entre 20 et 49 salariés,Tréfilage à froid,24.34Z,6800,10,998,2824,2730,3530,156,2850,9.5,795,108,5401,0.35340,0.02294,0.00147,0.52287,6.39744,16.42105,1,1
MICROCERTEC,775 738 164 00059,SASU,MICROCERTEC HOLDING & François Alfred IRLINGER & Alain Eugene Jean Joseph CHARBONNIER & CEFIGEST & Véronique HEITMANN,01/01/1963,Entre 20 et 49 salariés,Fabrication d'autres produits céramiques à usage technique,23.44Z,4180,312,812,3067,484,2930,45,292,5,2450,767,4518,0.26475,0.01077,0.07464,0.67884,18.04444,9.00000,1,1
EUROJOINT,343 664 173 00063,SARL,Michel Paul René ROBERT & Frédérique Nicole Marie BROCARD & Richard Paul Albert Louis WOLLF,01/01/1988,Entre 20 et 49 salariés,Construction d'ouvrages d'art,42.13A,6810,270,92,1424,-299,1850,392,73,5,2150,290,3614,0.06461,0.05756,0.03965,0.39402,0.23469,78.40000,1,1
ESPRIT DU BOIS,527 704 209 00024,SARL,Jean Philippe Noël MICHEL,01/10/2010,Entre 3 et 5 salariés,Fabrication de parquets assemblés,16.22Z,7480,52.6,15.4,185,134,199,70.9,20,6,65.9,53.8,754,0.08324,0.00948,0.00703,0.24536,0.21721,11.81667,2,2
REXO,440 162 360 00026,SARL,Philippe GEERAERT,10/12/2001,Entre 3 et 5 salariés,Fabrication d'outillage portatif à moteur incorporé,28.24Z,339,2.38,370,377,229,434,32.2,9,1.7,205,31.7,844,0.98143,0.09499,0.00702,0.44668,11.49068,18.94118,2,2
TETHYS SAS,451 456 552 00038,SASU,P.SAUSSOL TRANSMISSION & TETHYS HOLDING & David RUIZ & Christophe BOYER,05/01/2004,Entre 20 et 49 salariés,Fabrication de produits explosifs,20.51Z,3400,777,1530,2837,1630,3440,674,850,5.5,1810,924,5500,0.53930,0.19824,0.22853,0.51582,2.27003,122.54545,1,0
SOCIETE NOUVELLE DE TRAVAUX PUBLICS ET DE GENIE CIVIL - SNGC,300 940 970 00027,SAS,B T V INVESTISSEMENTS &Tony Louis BONIFACI & Fabien CAZENAVE & SAS CDA,01/01/1974,Entre 20 et 49 salariés,Construction d'ouvrages d'art,42.13A,5820,732,3230,2620,812,1330,220,111,237,518,918,8141,1.23282,0.03780,0.12577,0.32183,14.68182,0.92827,2,2
UNION BEURRIERE DU VAL DE MIEGES,778 407 726 00018,Société coopérative agricole,François VUILLEMIN & Laurent Claude Denise CUBY & SOCIETE COOPERATIVE AGRICOLE FROMAGERE FRUITIERE DE LA BAROCHE,01/01/2000,Entre 6 et 9 salariés,Fabrication de beurre,10.51B,2440,-11.7,576,1169,-42.3,822,88.3,88,6,865,104,2201,0.49273,0.03619,-0.00480,0.53112,6.52322,14.71667,2,2
MICROPIERRE SA,552 820 557 00031,SASU,Philippe CHANEY & GRANT THORNTON & INSTITUT DE GESTION ET D'EXPERTISE COMPTABLE - IGEC,01/01/1955,Entre 10 et 19 salariés,Fabrication d'isolateurs et pièces isolantes en céramique,23.43Z,3040,164,335,2201,739,2080,267,576,3.1,1340,165,2744,0.15220,0.08783,0.05395,0.80211,1.25468,86.12903,1,1
MAIA RAIL,520 352 782 00038,SA,Marc LOURDEAUX & Jean-Philippe MONNERIE & Frédéric Cédric FOUR & ROFFE ET ASSOCIES & Michel BERNARD,02/02/2010,Entre 20 et 49 salariés,Construction de voies ferrées de surface et souterraines,42.12Z,7960,770,643,3241,9.97,1380,1210,600,4,1370,1180,7033,0.19840,0.15201,0.09673,0.46083,0.53140,302.50000,1,1
LABORATOIRE D'ETALONS D'ACTIVITE,538 613 613 00040,SASU,"Jean-Luc VINCENT & Simon, Robert & Pascal, François Xavier SEGAL & KPMG S.A",30/11/2011,Entre 20 et 49 salariés,Enrichissement et retraitement de matières nucléaires,20.13A,4570,-505,3,-824,6670,6670,357,250,35,0,323,8296,-0.00364,0.07812,-0.11050,-0.09932,0.00840,10.20000,3,3
SECIP SOC EXPL CHAUFFAGE INSINERAT,712 820 968 00022,SARL,Thierry LANDAIS & Barthélémy FOUBERT & EXCO ACE (EX ACE) & BL AUDIT,01/01/1971,Entre 20 et 49 salariés,Production et distribution de vapeur et d'air conditionné,35.30Z,4990,174,1630,307,1980,1980,398,38,48,2.11,745,4095,5.30945,0.07976,0.03487,0.07497,4.09548,8.29167,3,3
AXEO DEVELOPPEMENT,501 233 563 00011,SASU,LPS RÉSEAUX & François-Xavier ANDRAULT & DUO SOLUTIONS AUDIT,06/11/2007,Entre 10 et 19 salariés,Supports juridiques de gestion de patrimoine immobilier,68.32B,5280,955,371,2656,2110,2830,1460,10,0.1,721,1100,4040,0.13968,0.27652,0.18087,0.65743,0.25411,14600.00000,1,0
AQUARELIA GESTION,504 813 007 00029,SASU,"Stéphane, Vincent, Joaquim ORIA & Laurence Bernadette CHOPARD & FERRUA RIBES AUDIT & Franck FERRUA",03/06/2008,Entre 10 et 19 salariés,Supports juridiques de gestion de patrimoine immobilier,68.32B,1560,8.19,145,8,26.9,170,24.2,50,0.1,143,29.5,478,18.12500,0.01551,0.00525,0.01674,5.99174,242.00000,3,3
AP ENTREPRISES ET SERVICES,448 684 928 00014,SASU,Antoine Marie Georges PLUCHET & Véronique Marie Joseph DESOUTTER & BOURBON CHRISTIAN AUDIT & Bernard DESGACHES,20/05/2003,Entre 10 et 19 salariés,Supports juridiques de gestion de patrimoine immobilier,68.32B,77.7,449,266,1051,20,1320,-100,66,2.6,1300,588,1334,0.25309,-1.28700,5.77864,0.78786,-2.66000,-38.46154,3,3
SA A DIRECTOIRE GADEA INVESTISSEMENTS,300 940 236 00015,SARL,Christophe GADEA & Nathalie Monique GADEA,01/01/1974,Entre 1 et 2 salariés,Supports juridiques de gestion de patrimoine immobilier,68.32B,373,-30,28.3,479,5.24,51.3,38.8,300,0.1,46,-17.3,563,0.05908,0.10402,-0.08043,0.85080,0.72938,388.00000,2,2
EPI ENOLA,434 835 062 00051,SASU,JEAN-MARC LE PRADO,01/03/2001,Entre 1 et 2 salariés,Supports juridiques de gestion de patrimoine immobilier,68.32B,407,6.23,18,140,149,151,-38.7,77.4,3.4,2.48,10,248,0.12857,0.75177,0.01531,0.56452,-0.46512,-11.38235,3,3
SOCIETE LITTORALE D ETUDES IMMOBILIERES ET DE LANCEMENT SOLEIL,696 220 466 00036,SARL,Eric André Jean DOLLA,01/01/1972,Entre 1 et 2 salariés,Supports juridiques de gestion de patrimoine immobilier,68.32B,141,24.5,83.1,531,47.8,330,106,174,1.7,282,99.5,632,0.15650,0.16230,0.17376,0.84019,0.78396,62.35294,1,0
GNV ALPES GRENOBLE,440 033 512 00011,SAS,Thierry JACQUIN & Habib SEHIL & MAZARS & Christine Céline Danièle GOCHARD & Christophe SUSZYLO & Jean-Baptiste FURIA & Françoise Madeleine Anne GARNIER,30/10/2001,0 salarié,Distribution de combustibles gazeux par conduites,35.22Z,1220,44.5,1810,203,-223,348,198,152,9.7,572,188,2426,8.91626,0.16230,0.03648,0.08368,9.14141,20.41237,3,3
TEJELEC,809 382 021 00016,SARL,Gilles Paul César ELICAGOYEN,17/01/2015,Entre 1 et 2 salariés,Distribution d'électricité,35.13Z,68.8,11.9,0,30.5,-5.69,30.5,14.1,1,0.1,36.2,11.9,47.6,0.00000,0.20494,0.17297,0.64076,0.00000,141.00000,1,0
COOPERATIVE D ELECTRICITE,956 200 190 00018,SA,Alain GOBAUT & Yves ISSERMANN & Robert DUNY & Annie DROUET & Cécile DUNY & Frédérique Solange Louise DUVAL BROWN ET ASSOCIES,01/01/1956,Entre 10 et 19 salariés,Distribution d'électricité,35.13Z,8640,1060,3890,9528,-1560,1950,1860,16,30,3510,1520,19591,0.40827,0.21528,0.12269,0.48635,2.09140,62.00000,1,0
